Index,Stimulus investigation DLC [%],Stimulus investigation DEG [%],Control investigation DLC [%],Control investigation DEG [%],Stimulus to total investigation DLC [%],Stimulus to total investigation DEG [%],Total investigation time DLC [%],Total investigation time DEG [%],Discrimination Index DLC,Discrimination Index DEG,Stimulus investigation events DEG,Stimulus investigation average bout length DEG,Stimulus investigation SD bout length DEG,Stimulus investigation SEM bout length DEG,Water investigation events DEG,Water investigation average bout length DEG,Water investigation SD bout length DEG,Water investigation SEM bout length DEG,Stimulus investigation events DLC,Stimulus investigation average bout length DLC,Stimulus investigation SD bout length DLC,Stimulus investigation SEM bout length DLC,Water investigation events DLC,Water investigation average bout length DLC,Water investigation SD bout length DLC,Water investigation SEM bout length DLC,Median speed [km/h],Distance per minute [m],Immobile time [%]
240612_top_65_V2.4_Urinleft_V_Habituation,3.2044198895027622,0.0764980875478113,3.1364215894602636,0.8244793880152996,50.53619302949062,8.49056603773585,6.626399005151892,0.9009774755631109,0.010723860589812333,-0.8301886792452831,1.0,0.0,0.0,0.0,4.0,24.25,19.653244007033546,9.826622003516773,26.0,14.5,15.912887858588082,3.1207740657136283,20.0,18.45,19.356693388783334,4.32828822369403,0.2122788819559951,4.958557524270949,24.735765427889532
240612_top_66_V2.4_Urinleft_I_Habituation,1.6489587760305993,0.1274968125796855,1.1899702507437315,0.1529961750956226,58.08383233532935,45.45454545454545,3.1438253012048194,0.2804929876753081,0.16167664670658682,-0.09090909090909091,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,8.818181818181818,6.772749062982466,1.4439549519246508,13.0,10.76923076923077,8.278021564700168,2.295910093147931,0.3862068471036429,8.532612534123794,12.575262343024256
240612_top_67_V2.4_Urinleft_V_Habituation,1.0114747131321717,0.23799405014874628,4.028899277518063,0.2634934126646834,20.06745362563238,47.45762711864407,5.3835678620063545,0.5014874628134297,-0.5986509274873525,-0.05084745762711865,1.0,0.0,0.0,0.0,2.0,15.5,9.192388155425117,6.499999999999999,6.0,19.833333333333332,13.862419221285535,5.659308948783215,28.0,16.928571428571427,23.21546191566457,4.387309914309972,0.1704937448228004,4.34297839289276,32.71346924848588
240612_top_68_V2.4_Urinleft_I_Habituation,1.3004674883127922,0.0,8.576285592860179,0.9009774755631109,13.166953528399311,0.0,10.185834502103788,0.9009774755631109,-0.7366609294320138,-1.0,0.0,0.0,0.0,0.0,3.0,35.333333333333336,28.37839553839035,16.384274303259346,10.0,15.3,25.35547278202479,8.018104514160438,41.0,24.609756097560975,34.86608527550841,5.445167699805085,0.09307967465134759,2.800406044917982,52.44897959183673
240624_top_69_V2.5_Urinleft_I_Habituation,3.510412239694008,0.6544836379090523,3.1024224394390143,0.042498937526561836,53.084832904884315,93.90243902439023,7.275787898625269,0.696982575435614,0.061696658097686374,0.8780487804878049,2.0,38.5,38.890872965260115,27.5,1.0,0.0,0.0,0.0,23.0,17.956521739130434,19.72418511018566,4.112776901003642,26.0,14.038461538461538,18.01883629812041,3.533784534474998,0.2082771389945478,5.0958290464547895,25.265653815754806
240624_top_70_V2.5_Urinleft_V_Habituation,4.691882702932427,0.6799830004249894,5.669358266043349,1.6404589885252867,45.28301886792453,29.304029304029307,11.452461480646374,2.3204419889502765,-0.09433962264150944,-0.4139194139194139,2.0,40.0,26.870057685088806,19.0,5.0,38.6,18.68956928342652,8.358229477586745,32.0,17.25,22.179618659277434,3.9208396895266886,22.0,30.318181818181817,35.765621114132124,7.625256042436314,0.14731987047483094,3.7269711430095467,36.23571550400818
240624_top_71_V2.5_Urinleft_I_Habituation,1.971950701232469,0.0,2.243943901402465,0.11899702507437314,46.774193548387096,0.0,4.73508353221957,0.11899702507437314,-0.06451612903225806,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,13.647058823529411,12.990098038845725,3.150561547134691,20.0,13.2,11.033918996487722,2.467259293437281,0.23640832415296703,5.174509534001144,21.807146520772783
240624_top_72_V2.5_Urinleft_I_Habituation,1.716957076073098,0.18699532511687209,2.133446663833404,0.6374840628984276,44.5916114790287,22.68041237113402,4.2687523558235965,0.8244793880152996,-0.10816777041942605,-0.5463917525773195,1.0,0.0,0.0,0.0,4.0,18.75,14.244882121894399,7.1224410609471995,13.0,15.538461538461538,13.799851355572546,3.827390127407543,24.0,10.458333333333334,8.9441706382312,1.825721186337483,0.26744486189069894,6.0542662775110765,22.51335976555766
240624_top_73_V2.5_Urinleft_V_Habituation,2.9494262643433915,1.0539736506587336,2.2694432639184017,0.3059923501912452,56.51465798045603,77.5,5.57421697684975,1.3599660008499788,0.13029315960912052,0.55,2.0,62.0,22.627416997969522,16.0,2.0,18.0,4.242640687119285,2.9999999999999996,29.0,11.96551724137931,14.951069619215232,2.7763439290488185,13.0,20.53846153846154,16.84050367722308,4.670715347143668,0.1722054250363219,4.251381736337097,31.61037188672808
240624_top_74_V2.5_Urinleft_I_Habituation,2.685932851678708,0.2804929876753081,1.9804504887377814,0.37399065023374417,57.5591985428051,42.857142857142854,4.950405770964833,0.6544836379090523,0.151183970856102,-0.14285714285714285,2.0,16.5,3.5355339059327378,2.5,1.0,0.0,0.0,0.0,38.0,8.31578947368421,8.795285171714337,1.4267836598058226,25.0,9.32,8.320256406305438,1.6640512812610875,0.1537933806976977,3.8709522757818244,36.39846743295019
240627_top_69_V2.6_Urinright_V_Habituation,1.8444538886527837,0.4334891627709307,1.7764555886102849,0.35699107522311946,50.93896713615024,54.83870967741935,4.034855086190566,0.7904802379940502,0.018779342723004695,0.0967741935483871,3.0,17.0,9.643650760992955,5.567764362830022,2.0,21.0,11.313708498984761,8.0,14.0,15.5,13.04872525456915,3.4874185169101675,6.0,34.833333333333336,54.0644676905883,22.071726509521433,0.1592793060686031,4.009402346997466,34.2709232096635
240627_top_70_V2.6_Urinright_I_Habituation,4.496387590310242,1.317467063323417,2.5754356141096473,0.7054823629409265,63.581730769230774,65.12605042016807,7.7309050362386165,2.0229494262643435,0.27163461538461536,0.3025210084033613,5.0,31.0,37.027017163147235,16.558985476169727,3.0,27.666666666666668,16.502525059315417,9.527737285304301,32.0,16.53125,18.92767963728288,3.3459726559123135,12.0,25.25,29.47456530637899,8.508574106942557,0.1339773315310449,3.473236699832994,39.766583712348755
240627_top_71_V2.6_Urinright_V_Habituation,3.365915852103697,0.47598810029749256,1.9294517637059072,0.5354866128346791,63.56340288924559,47.05882352941176,5.836612329023796,1.0114747131321717,0.2712680577849117,-0.058823529411764705,4.0,14.0,9.41629792788369,4.708148963941845,4.0,15.75,5.377421934967226,2.688710967483613,23.0,17.217391304347824,13.866101640459632,2.8912820588162838,13.0,17.46153846153846,11.680577786903243,3.2396093952096408,0.1745358864292719,4.192835387278802,31.851094641792315
240627_top_72_V2.6_Urinright_V_Habituation,1.410964725881853,0.416489587760306,2.08244793880153,0.5864853378665533,40.38929440389295,41.52542372881356,4.006628972509261,1.0029749256268594,-0.1922141119221411,-0.1694915254237288,3.0,16.333333333333332,16.19670748434179,9.351173426070359,4.0,17.25,8.99536917900909,4.497684589504545,12.0,13.833333333333334,12.960312379325467,3.741319920492599,19.0,12.894736842105264,11.58972119711689,2.658864393791777,0.3062726933385875,6.862344813265808,18.492497181021772
240627_top_73_V2.6_Urinright_I_Habituation,2.388440288992775,0.09349766255843604,4.938376540586485,1.1899702507437315,32.59860788863109,7.28476821192053,7.817884999093053,1.2834679133021676,-0.3480278422273782,-0.8543046357615894,1.0,0.0,0.0,0.0,3.0,46.666666666666664,35.00476158086687,20.210008521632158,13.0,21.615384615384617,16.525427183275582,4.58332885063435,33.0,17.606060606060606,18.766558345131163,3.2668384870762726,0.1718841559928967,4.127566494961024,31.684871419970754
240627_top_74_V2.6_Urinright_V_Habituation,1.8614534636634084,0.14449638759031025,1.8104547386315344,0.0,50.69444444444444,100.0,4.053293300806906,0.14449638759031025,0.013888888888888888,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,12.166666666666666,9.294210721797546,2.1906664757199206,15.0,14.2,9.458178622607148,2.4420912193874993,0.18187259847269335,4.474637391777676,30.065135413095646
