;distance_travelled_center;speed_in_cm/s;distance_nose_leftdish;distance_nose_rightdish;is_left_cagehalf;is_right_cagehalf;is_investigating_leftdish;is_investigating_rightdish
22472;;;565.7432917;608.2967011;1;0;0;0
22473;;;569.2651845;608.7538797;;;0;0
22474;;;572.6443941;610.920006;;;0;0
22475;;;573.7293132;614.1217686;;;0;0
22476;7.738450869;7.738450869;;;1;0;0;0
22477;6.275223429;6.275223429;;;1;0;0;0
22478;2.638645707;2.638645707;;;1;0;0;0
22479;3.18351217;3.18351217;;;1;0;0;0
22480;9.348961965;9.348961965;;;1;0;0;0
22481;10.62363888;10.62363888;;;1;0;0;0
22482;4.462523112;4.462523112;;;1;0;0;0
22483;3.864212939;3.864212939;;;1;0;0;0
22484;6.468208463;6.468208463;;;1;0;0;0
22485;5.566690493;5.566690493;;;1;0;0;0
22486;3.195840034;3.195840034;;;1;0;0;0
22487;1.798323474;1.798323474;;;1;0;0;0
22488;0.75617177;0.75617177;;;1;0;0;0
22489;5.555449125;5.555449125;;;1;0;0;0
22490;;;;;1;0;0;0
22491;;;;;;;0;0
22492;;;;;;;0;0
22493;;;;;;;0;0
22494;;;;;;;0;0
22495;;;;;;;0;0
22496;;;;;;;0;0
22497;;;;;;;0;0
22498;;;;;;;0;0
22499;11.12738935;11.12738935;;;1;0;0;0
22500;2.656670729;2.656670729;534.8947501;635.9825985;1;0;0;0
22501;8.678383888;8.678383888;531.517946;632.4120494;1;0;0;0
22502;4.814441164;4.814441164;;;1;0;0;0
22503;4.925519804;4.925519804;564.6135612;537.6436349;1;0;0;0
22504;8.221349981;8.221349981;563.0432335;524.5031602;1;0;0;0
22505;4.91865167;4.91865167;566.1008884;508.5181794;1;0;0;0
22506;4.333072687;4.333072687;568.917365;497.624407;1;0;0;0
22507;1.06399528;1.06399528;570.1852826;487.320843;1;0;0;0
22508;5.292842257;5.292842257;568.0276372;480.2538882;1;0;0;0
22509;3.359741865;3.359741865;564.2004107;476.7565894;1;0;0;0
22510;1.676567574;1.676567574;563.662852;470.6401743;1;0;0;0
22511;0.707257267;0.707257267;563.4973843;467.2681378;1;0;0;0
22512;3.418076576;3.418076576;565.3235092;462.4252873;1;0;0;0
22513;1.6095439;1.6095439;570.1789074;457.709829;1;0;0;0
22514;3.279635627;3.279635627;574.3103833;453.1637361;1;0;0;0
22515;2.681197559;2.681197559;575.2869848;449.5189172;1;0;0;0
22516;1.244887473;1.244887473;575.4747163;445.2397124;1;0;0;0
