,distance_nose_leftdish,distance_nose_rightdish,is_investigating_leftdish,is_investigating_rightdish,petridish_investigation_radius[cm]
175,700.8434297051019,374.96213563173166,0.0,0.0,2.2
176,704.3728816741648,345.28418503551086,0.0,0.0,2.2
177,709.0145962035366,320.009859366454,0.0,0.0,2.2
178,721.4352552834614,301.09244144228006,0.0,0.0,2.2
179,749.052645516142,288.55750119348096,0.0,0.0,2.2
180,771.7807222246079,284.22058376450394,0.0,0.0,2.2
181,807.1479794174311,290.67784970929154,0.0,0.0,2.2
182,831.2927702908652,295.2591302306997,0.0,0.0,2.2
183,846.480942194146,289.3351306056595,0.0,0.0,2.2
184,861.4743378162983,282.786276292681,0.0,0.0,2.2
185,865.0538306386258,274.9225683302252,0.0,0.0,2.2
186,858.0780815884157,254.08156221311143,0.0,0.0,2.2
187,854.1606204594491,238.13305076712226,0.0,0.0,2.2
188,855.2092763999224,228.51430106273662,0.0,0.0,2.2
189,859.0686458426895,218.52003432032205,0.0,0.0,2.2
190,860.1767876758719,209.4875461751183,0.0,0.0,2.2
191,862.2388394673061,202.14737166702398,0.0,0.0,2.2
192,861.9394335725099,194.4135204727365,0.0,0.0,2.2
193,859.8535316849429,189.717735781668,0.0,0.0,2.2
194,864.1677831904991,186.91201875530214,0.0,0.0,2.2
195,857.6466958438921,176.81294307522018,0.0,0.0,2.2
196,845.1702734023853,165.572044674987,0.0,0.0,2.2
197,826.8783056752654,146.62924637829866,0.0,0.0,2.2
198,814.9004533111346,133.77292175257043,0.0,0.0,2.2
199,805.5183789616306,119.55204152036735,0.0,0.0,2.2
200,796.5299908210429,109.36148760093504,0.0,0.0,2.2
201,797.4597206015928,101.07283406270184,0.0,0.0,2.2
202,791.5001517726375,90.11126949032982,0.0,0.0,2.2
203,789.9968123233072,81.68289050038983,0.0,0.0,2.2
204,787.5467472699806,71.26475362541902,0.0,1.0,2.2
205,785.8363969060841,65.25857903649027,0.0,1.0,2.2
206,785.3018751910571,60.22060259066858,0.0,1.0,2.2
207,778.232862634356,50.25062509526477,0.0,1.0,2.2
208,767.6063261387783,35.883950031722485,0.0,1.0,2.2
209,761.9953201660579,25.263914913915073,0.0,1.0,2.2
210,759.206355564503,20.860943319623306,0.0,1.0,2.2
211,761.1137830045113,22.54362636652032,0.0,1.0,2.2
212,760.2089428762871,21.762631530274543,0.0,1.0,2.2
213,755.2403717155154,17.787951076707344,0.0,1.0,2.2
214,750.8900019853603,13.950919524992932,0.0,1.0,2.2
215,751.2672667019848,13.370066445883852,0.0,1.0,2.2
216,750.4713232167869,12.040729740365697,0.0,1.0,2.2
217,749.7492735034615,11.155078752327128,0.0,1.0,2.2
218,,,0.0,0.0,2.2
219,,,0.0,0.0,2.2
220,,,0.0,0.0,2.2
221,,,0.0,0.0,2.2
222,749.2351180911916,10.655101295579135,0.0,1.0,2.2
223,748.5059398772518,9.998903054184144,0.0,1.0,2.2
224,747.6675320907572,9.537717676772179,0.0,1.0,2.2
225,749.7722941579617,11.58698052983243,0.0,1.0,2.2
226,752.6774666111332,14.43952253253529,0.0,1.0,2.2
227,758.642801639509,20.182542473044748,0.0,1.0,2.2
228,760.3276604774402,21.748745945579387,0.0,1.0,2.2
229,759.5011041383225,20.969403917957763,0.0,1.0,2.2
230,758.9747810018373,20.47749938990108,0.0,1.0,2.2
231,759.275306426079,20.98144401175655,0.0,1.0,2.2
232,759.0818969052749,20.96077113000217,0.0,1.0,2.2
233,759.2357492992469,21.44353617944367,0.0,1.0,2.2
234,757.9101456513101,20.573191171134614,0.0,1.0,2.2
235,759.0689079664098,23.70352630371393,0.0,1.0,2.2
236,759.6582172233734,25.145733869889757,0.0,1.0,2.2
237,760.2162127620306,27.555882271999316,0.0,1.0,2.2
238,,,0.0,0.0,2.2
239,752.633985789544,14.440091484713223,0.0,1.0,2.2
240,738.6516528965385,3.7399016648161822,0.0,1.0,2.2
241,724.9901439486308,15.2790438654131,0.0,1.0,2.2
242,721.136554913457,17.605883066889692,0.0,1.0,2.2
243,713.3742388775917,25.249053664107297,0.0,1.0,2.2
244,711.8319763661636,27.239245146233312,0.0,1.0,2.2
245,713.2767657220745,28.382929528171264,0.0,1.0,2.2
246,708.3153634689432,34.88373823470017,0.0,1.0,2.2
247,708.4167789318981,34.78975324418297,0.0,1.0,2.2
248,708.1765780406109,35.719828592287094,0.0,1.0,2.2
249,707.3585621739059,36.76103257178397,0.0,1.0,2.2
250,706.5134750662108,36.34960799042741,0.0,1.0,2.2
251,703.5824360211283,36.669169820294165,0.0,1.0,2.2
252,697.9804335318724,42.2378131682558,0.0,1.0,2.2
253,694.8619404754251,45.51285299538418,0.0,1.0,2.2
254,690.9887666686333,49.314331179180286,0.0,1.0,2.2
255,690.9050888880053,50.76560844194072,0.0,1.0,2.2
256,686.3089762210934,56.01727900729952,0.0,1.0,2.2
257,682.127783245817,60.02471317662654,0.0,1.0,2.2
258,,,0.0,0.0,2.2
259,,,0.0,0.0,2.2
260,684.0126663465875,55.63080273445786,0.0,1.0,2.2
261,688.5400091767202,50.550536583234,0.0,1.0,2.2
262,687.2580735461408,51.472917920031044,0.0,1.0,2.2
263,687.5901930108797,51.005999389462104,0.0,1.0,2.2
264,688.7246172903613,49.87239191339693,0.0,1.0,2.2
265,687.2825120341247,51.4175993875604,0.0,1.0,2.2
266,687.2512760112808,51.50684358891727,0.0,1.0,2.2
267,686.2629060818864,52.61555741273011,0.0,1.0,2.2
268,686.2319461378559,52.665178102510886,0.0,1.0,2.2
269,688.5574640857699,50.8424464938568,0.0,1.0,2.2
270,689.5221830740531,50.21506119636125,0.0,1.0,2.2
271,688.8737632469655,51.110238665973505,0.0,1.0,2.2
272,688.0677991986777,52.09263536080138,0.0,1.0,2.2
273,690.1770062107549,49.87235084202616,0.0,1.0,2.2
274,691.2017957999637,48.89572677897744,0.0,1.0,2.2
275,692.4106705003041,47.76121008001457,0.0,1.0,2.2
276,692.3953740242689,48.11473236859588,0.0,1.0,2.2
277,691.7275029155835,48.792368878525146,0.0,1.0,2.2
278,689.9254975700181,50.57738415362139,0.0,1.0,2.2
279,688.4114504593111,51.76666653864414,0.0,1.0,2.2
280,688.7594532295213,51.465761777301246,0.0,1.0,2.2
281,691.4770294538071,48.54874555316248,0.0,1.0,2.2
282,691.7093965815549,48.30006396821157,0.0,1.0,2.2
283,692.5766063900794,47.75219419331847,0.0,1.0,2.2
284,694.211984915886,46.1708674781218,0.0,1.0,2.2
285,694.2944237726218,46.66411356972666,0.0,1.0,2.2
286,693.9185673780994,47.5850407433393,0.0,1.0,2.2
287,695.303863683892,46.54419580655794,0.0,1.0,2.2
288,695.9467009977736,46.2187590905739,0.0,1.0,2.2
289,698.0351795213938,43.59272198610041,0.0,1.0,2.2
290,698.7077840917436,42.999992199631265,0.0,1.0,2.2
291,699.2124193737412,42.755682668119924,0.0,1.0,2.2
292,698.9612877018258,42.77674342461294,0.0,1.0,2.2
293,698.6864457662327,42.80384419016588,0.0,1.0,2.2
